sbe_precinct_id,onemap_precinct_id,vap_weight,block_count,src_vap_total,share
ALAMANCE - 01,ALAMANCE - 01,4066,98,4148,0.9802314368370298
ALAMANCE - 01,GUILFORD - GR,82,1,4148,0.019768563162970106
ALAMANCE - 01,RANDOLPH - LB,0,4,4148,0.0
ALAMANCE - 02,ALAMANCE - 02,3766,136,3766,1.0
ALAMANCE - 035,ALAMANCE - 035,7036,137,7036,1.0
ALAMANCE - 03C,ALAMANCE - 03C,2242,75,2242,1.0
ALAMANCE - 03N,ALAMANCE - 03N,5006,92,5015,0.9982053838484546
ALAMANCE - 03N,ALAMANCE - 03W,5,2,5015,0.0009970089730807576
ALAMANCE - 03N,ALAMANCE - 03C,4,1,5015,0.0007976071784646061
ALAMANCE - 03N2,ALAMANCE - 03N2,791,12,791,1.0
ALAMANCE - 03N2,ALAMANCE - 03N,0,2,791,0.0
ALAMANCE - 03S,ALAMANCE - 03SE,4636,122,8160,0.5681372549019608
ALAMANCE - 03S,ALAMANCE - 03SM,3524,70,8160,0.43186274509803924
ALAMANCE - 03W,ALAMANCE - 03W,3091,77,3097,0.9980626412657411
ALAMANCE - 03W,ALAMANCE - 035,6,1,3097,0.0019373587342589602
ALAMANCE - 03W,GUILFORD - GIB,0,3,3097,0.0
ALAMANCE - 04,ALAMANCE - 04,4307,128,4307,1.0
ALAMANCE - 04,CASWELL - STON,0,8,4307,0.0
ALAMANCE - 04,GUILFORD - SWASH,0,1,4307,0.0
ALAMANCE - 05,ALAMANCE - 05,2756,102,2756,1.0
ALAMANCE - 05,ALAMANCE - 13,0,1,2756,0.0
ALAMANCE - 05,CASWELL - ANDE,0,3,2756,0.0
ALAMANCE - 05,CASWELL - STON,0,1,2756,0.0
ALAMANCE - 063,ALAMANCE - 063,3561,79,3561,1.0
ALAMANCE - 064,ALAMANCE - 064,4952,103,4952,1.0
ALAMANCE - 06E,ALAMANCE - 06E,3169,86,3169,1.0
ALAMANCE - 06N,ALAMANCE - 06N,3587,118,3587,1.0
ALAMANCE - 06N,ALAMANCE - 063,0,1,3587,0.0
ALAMANCE - 06S,ALAMANCE - 06S,3986,107,3986,1.0
ALAMANCE - 06S,ALAMANCE - 07,0,1,3986,0.0
ALAMANCE - 06W,ALAMANCE - 06W,1573,36,1573,1.0
ALAMANCE - 07,ALAMANCE - 07,3475,67,3475,1.0
ALAMANCE - 08N,ALAMANCE - 08N,3066,57,3066,1.0
ALAMANCE - 08S,ALAMANCE - 08S,1647,64,1865,0.8831099195710456
ALAMANCE - 08S,ALAMANCE - 08N,218,1,1865,0.11689008042895442
ALAMANCE - 09N,ALAMANCE - 09N,2596,73,2596,1.0
ALAMANCE - 09S,ALAMANCE - 09S,5196,100,5204,0.9984627209838586
ALAMANCE - 09S,ORANGE - OG,5,3,5204,0.0009607993850883935
ALAMANCE - 09S,ORANGE - WC,3,4,5204,0.0005764796310530361
ALAMANCE - 103,ALAMANCE - 103,3551,91,3551,1.0
ALAMANCE - 103,ALAMANCE - 06S,0,1,3551,0.0
ALAMANCE - 10N,ALAMANCE - 10N,3699,121,3699,1.0
ALAMANCE - 10N,ORANGE - CX,0,1,3699,0.0
ALAMANCE - 10S,ALAMANCE - 10S1,6835,121,9294,0.7354207015278674
ALAMANCE - 10S,ALAMANCE - 104,2459,76,9294,0.2645792984721326
ALAMANCE - 10S,ALAMANCE - 10N,0,1,9294,0.0
ALAMANCE - 10S,ORANGE - CX,0,6,9294,0.0
ALAMANCE - 11,ALAMANCE - 11,3743,75,3786,0.9886423666138404
ALAMANCE - 11,ORANGE - CA,27,3,3786,0.0071315372424722665
ALAMANCE - 11,CASWELL - ANDE,16,8,3786,0.004226096143687269
ALAMANCE - 11,CASWELL - PH,0,1,3786,0.0
ALAMANCE - 1210,ALAMANCE - 1210,2413,38,2413,1.0
ALAMANCE - 124,ALAMANCE - 124,1991,61,1991,1.0
ALAMANCE - 125,ALAMANCE - 125,2415,61,2415,1.0
ALAMANCE - 126,ALAMANCE - 126,1682,38,1682,1.0
ALAMANCE - 127,ALAMANCE - 127,5610,144,5610,1.0
ALAMANCE - 128,ALAMANCE - 128,2815,84,2815,1.0
ALAMANCE - 129,ALAMANCE - 129,1932,75,1932,1.0
ALAMANCE - 12E,ALAMANCE - 12E,2632,98,2632,1.0
ALAMANCE - 12N,ALAMANCE - 12N,4789,127,4789,1.0
ALAMANCE - 12S,ALAMANCE - 12S,1956,68,1956,1.0
ALAMANCE - 12W,ALAMANCE - 12W,2289,98,2289,1.0
ALAMANCE - 13,ALAMANCE - 13,4674,227,4701,0.994256541161455
ALAMANCE - 13,ALAMANCE - 06E,14,4,4701,0.0029780897681344395
ALAMANCE - 13,ALAMANCE - 063,13,2,4701,0.002765369070410551
ALAMANCE - 13,ALAMANCE - 10N,0,2,4701,0.0
ALEXANDER - B1,ALEXANDER - B1,3088,73,3088,1.0
ALEXANDER - B2,ALEXANDER - B2,3594,63,3594,1.0
ALEXANDER - E,ALEXANDER - E,2563,87,2563,1.0
ALEXANDER - G1G2,ALEXANDER - G1G2,1695,111,1724,0.9831786542923434
ALEXANDER - G1G2,IREDELL - NH,25,6,1724,0.014501160092807424
ALEXANDER - G1G2,IREDELL - SB,4,2,1724,0.002320185614849188
ALEXANDER - LRSL,ALEXANDER - LRSL,2066,92,2066,1.0
ALEXANDER - M,ALEXANDER - M,2039,43,2039,1.0
ALEXANDER - S1S2,ALEXANDER - S1S2,3320,124,3320,1.0
ALEXANDER - T1T4T5,ALEXANDER - T1T4T5,5857,149,5857,1.0
ALEXANDER - T2T3,ALEXANDER - T2T3,3215,143,3215,1.0
ALEXANDER - W,ALEXANDER - W,1835,32,1835,1.0
ALLEGHANY - 01,ALLEGHANY - 01,1304,118,1307,0.9977046671767407
ALLEGHANY - 01,WILKES - 123A,3,2,1307,0.0022953328232593728
ALLEGHANY - 03A,ALLEGHANY - 03A,4239,259,4244,0.9988218661639963
ALLEGHANY - 03A,WILKES - 126,5,3,4244,0.00117813383600377
ALLEGHANY - 04,ALLEGHANY - 04,1598,96,1613,0.990700557966522
ALLEGHANY - 04,SURRY - 09,15,6,1613,0.009299442033477991
ALLEGHANY - 06A,ALLEGHANY - 06A,1772,221,1772,1.0
ALLEGHANY - 06A,ASHE - 11,0,3,1772,0.0
ALLEGHANY - 06A,ASHE - 15,0,2,1772,0.0
ANSON - ANS,ANSON - ANS,1109,142,1109,1.0
ANSON - BURN,ANSON - BURN,1383,99,1383,1.0
ANSON - GULL,ANSON - GULL,1065,73,1065,1.0
