sbe_precinct_id,onemap_precinct_id,vap_weight,block_count,src_vap_total,share
ALAMANCE - 01,ALAMANCE - 01,4066,98,4066,1.0
ALAMANCE - 02,ALAMANCE - 02,3766,136,3766,1.0
ALAMANCE - 035,ALAMANCE - 035,7042,138,7042,1.0
ALAMANCE - 03C,ALAMANCE - 03C,2246,76,2246,1.0
ALAMANCE - 03N,ALAMANCE - 03N,5006,94,5006,1.0
ALAMANCE - 03N2,ALAMANCE - 03N2,791,12,791,1.0
ALAMANCE - 03S,ALAMANCE - 03SE,4636,122,8160,0.5681372549019608
ALAMANCE - 03S,ALAMANCE - 03SM,3524,70,8160,0.43186274509803924
ALAMANCE - 03W,ALAMANCE - 03W,3111,80,3111,1.0
ALAMANCE - 04,ALAMANCE - 04,4307,129,4307,1.0
ALAMANCE - 05,ALAMANCE - 05,2756,102,2756,1.0
ALAMANCE - 063,ALAMANCE - 063,3574,81,3574,1.0
ALAMANCE - 063,ALAMANCE - 06N,0,1,3574,0.0
ALAMANCE - 064,ALAMANCE - 064,4952,103,4952,1.0
ALAMANCE - 06E,ALAMANCE - 06E,3183,90,3183,1.0
ALAMANCE - 06N,ALAMANCE - 06N,3587,118,3587,1.0
ALAMANCE - 06S,ALAMANCE - 06S,3986,107,3986,1.0
ALAMANCE - 06S,ALAMANCE - 06E,0,1,3986,0.0
ALAMANCE - 06W,ALAMANCE - 06W,1573,36,1573,1.0
ALAMANCE - 07,ALAMANCE - 07,3475,68,3475,1.0
ALAMANCE - 08N,ALAMANCE - 08N,3284,59,3284,1.0
ALAMANCE - 08S,ALAMANCE - 08S,1647,64,1647,1.0
ALAMANCE - 09N,ALAMANCE - 09N,2596,73,2596,1.0
ALAMANCE - 09S,ALAMANCE - 09S,5208,109,5208,1.0
ALAMANCE - 103,ALAMANCE - 103,3556,95,3556,1.0
ALAMANCE - 104,ALAMANCE - 104,2542,83,2542,1.0
ALAMANCE - 10N,ALAMANCE - 10N,3779,133,3779,1.0
ALAMANCE - 10S1,ALAMANCE - 10S1,6835,121,6835,1.0
ALAMANCE - 11,ALAMANCE - 11,3743,75,3743,1.0
ALAMANCE - 1210,ALAMANCE - 1210,2413,38,2413,1.0
ALAMANCE - 124,ALAMANCE - 124,1991,61,1991,1.0
ALAMANCE - 125,ALAMANCE - 125,2415,61,2415,1.0
ALAMANCE - 126,ALAMANCE - 126,1682,38,1682,1.0
ALAMANCE - 127,ALAMANCE - 127,5610,144,5610,1.0
ALAMANCE - 128,ALAMANCE - 128,2815,84,2815,1.0
ALAMANCE - 129,ALAMANCE - 129,1932,75,1932,1.0
ALAMANCE - 12E,ALAMANCE - 12E,2632,98,2632,1.0
ALAMANCE - 12N,ALAMANCE - 12N,4789,127,4789,1.0
ALAMANCE - 12S,ALAMANCE - 12S,1956,68,1956,1.0
ALAMANCE - 12W,ALAMANCE - 12W,2289,98,2289,1.0
ALAMANCE - 13,ALAMANCE - 13,4674,228,4674,1.0
ALEXANDER - B1,ALEXANDER - B1,3088,73,3088,1.0
ALEXANDER - B2,ALEXANDER - B2,3594,63,3594,1.0
ALEXANDER - E,ALEXANDER - E,2563,87,2563,1.0
ALEXANDER - G1G2,ALEXANDER - G1G2,1696,113,1696,1.0
ALEXANDER - LRSL,ALEXANDER - LRSL,2066,91,2066,1.0
ALEXANDER - LRSL,ALEXANDER - S1S2,0,1,2066,0.0
ALEXANDER - M,ALEXANDER - M,2039,43,2039,1.0
ALEXANDER - S1S2,ALEXANDER - S1S2,3320,123,3320,1.0
ALEXANDER - S1S2,ALEXANDER - G1G2,0,1,3320,0.0
ALEXANDER - T1T4T5,ALEXANDER - T1T4T5,5857,149,5857,1.0
ALEXANDER - T2T3,ALEXANDER - T2T3,3215,143,3215,1.0
ALEXANDER - W,ALEXANDER - W,1835,32,1835,1.0
ALLEGHANY - 01,ALLEGHANY - 01,1304,118,1304,1.0
ALLEGHANY - 03A,ALLEGHANY - 03A,4239,259,4239,1.0
ALLEGHANY - 04,ALLEGHANY - 04,1621,98,1621,1.0
ALLEGHANY - 06A,ALLEGHANY - 06A,1778,228,1778,1.0
ANSON - ANS,ANSON - ANS,1109,142,1109,1.0
ANSON - BURN,ANSON - BURN,1383,99,1383,1.0
ANSON - GULL,ANSON - GULL,1065,73,1065,1.0
ANSON - LILE,ANSON - LILE,2296,236,2296,1.0
ANSON - MM,ANSON - MM,1194,123,1194,1.0
ANSON - PEAC,ANSON - PEAC,1381,128,1381,1.0
ANSON - POLK,ANSON - POLK,1130,84,1130,1.0
ANSON - WADES,ANSON - WADES,7923,351,7923,1.0
ANSON - WS,ANSON - WS,364,74,364,1.0
ASHE - 02,ASHE - 02,1357,44,1357,1.0
