district_type,target_year,plan_id,district,district_code,district_label,district_geoid,district_name,CVAP_TOT24
congressional,2024,tiger_line_2024,01,,CD-01,3701,Congressional District 1,565658
congressional,2024,tiger_line_2024,02,,CD-02,3702,Congressional District 2,553566
congressional,2024,tiger_line_2024,03,,CD-03,3703,Congressional District 3,575106
congressional,2024,tiger_line_2024,04,,CD-04,3704,Congressional District 4,537125
congressional,2024,tiger_line_2024,05,,CD-05,3705,Congressional District 5,577174
congressional,2024,tiger_line_2024,06,,CD-06,3706,Congressional District 6,559357
congressional,2024,tiger_line_2024,07,,CD-07,3707,Congressional District 7,596699
congressional,2024,tiger_line_2024,08,,CD-08,3708,Congressional District 8,549671
congressional,2024,tiger_line_2024,09,,CD-09,3709,Congressional District 9,561334
congressional,2024,tiger_line_2024,10,,CD-10,3710,Congressional District 10,566434
congressional,2024,tiger_line_2024,11,,CD-11,3711,Congressional District 11,601781
congressional,2024,tiger_line_2024,12,,CD-12,3712,Congressional District 12,519151
congressional,2024,tiger_line_2024,13,,CD-13,3713,Congressional District 13,568436
congressional,2024,tiger_line_2024,14,,CD-14,3714,Congressional District 14,566660
