district_type,target_year,plan_id,district,district_code,district_label,district_geoid,district_name,CVAP_TOT24
state_house,2022,nc_court_ordered_2022,1,001,HD-001,37001,State House District 1,68737
state_house,2022,nc_court_ordered_2022,2,002,HD-002,37002,State House District 2,68475
state_house,2022,nc_court_ordered_2022,3,003,HD-003,37003,State House District 3,68227
state_house,2022,nc_court_ordered_2022,4,004,HD-004,37004,State House District 4,56054
state_house,2022,nc_court_ordered_2022,5,005,HD-005,37005,State House District 5,63857
state_house,2022,nc_court_ordered_2022,6,006,HD-006,37006,State House District 6,59934
state_house,2022,nc_court_ordered_2022,7,007,HD-007,37007,State House District 7,69306
state_house,2022,nc_court_ordered_2022,8,008,HD-008,37008,State House District 8,72064
state_house,2022,nc_court_ordered_2022,9,009,HD-009,37009,State House District 9,62038
state_house,2022,nc_court_ordered_2022,10,010,HD-010,37010,State House District 10,61840
state_house,2022,nc_court_ordered_2022,11,011,HD-011,37011,State House District 11,65208
state_house,2022,nc_court_ordered_2022,12,012,HD-012,37012,State House District 12,63921
state_house,2022,nc_court_ordered_2022,13,013,HD-013,37013,State House District 13,67700
state_house,2022,nc_court_ordered_2022,14,014,HD-014,37014,State House District 14,70469
state_house,2022,nc_court_ordered_2022,15,015,HD-015,37015,State House District 15,62511
state_house,2022,nc_court_ordered_2022,16,016,HD-016,37016,State House District 16,69525
state_house,2022,nc_court_ordered_2022,17,017,HD-017,37017,State House District 17,84578
state_house,2022,nc_court_ordered_2022,18,018,HD-018,37018,State House District 18,73321
state_house,2022,nc_court_ordered_2022,19,019,HD-019,37019,State House District 19,80692
state_house,2022,nc_court_ordered_2022,20,020,HD-020,37020,State House District 20,75804
state_house,2022,nc_court_ordered_2022,21,021,HD-021,37021,State House District 21,55239
state_house,2022,nc_court_ordered_2022,22,022,HD-022,37022,State House District 22,63174
state_house,2022,nc_court_ordered_2022,23,023,HD-023,37023,State House District 23,67790
state_house,2022,nc_court_ordered_2022,24,024,HD-024,37024,State House District 24,61721
state_house,2022,nc_court_ordered_2022,25,025,HD-025,37025,State House District 25,69522
state_house,2022,nc_court_ordered_2022,26,026,HD-026,37026,State House District 26,69496
state_house,2022,nc_court_ordered_2022,27,027,HD-027,37027,State House District 27,65779
state_house,2022,nc_court_ordered_2022,28,028,HD-028,37028,State House District 28,65632
state_house,2022,nc_court_ordered_2022,29,029,HD-029,37029,State House District 29,68444
state_house,2022,nc_court_ordered_2022,30,030,HD-030,37030,State House District 30,65469
state_house,2022,nc_court_ordered_2022,31,031,HD-031,37031,State House District 31,66096
state_house,2022,nc_court_ordered_2022,32,032,HD-032,37032,State House District 32,63053
state_house,2022,nc_court_ordered_2022,33,033,HD-033,37033,State House District 33,67137
state_house,2022,nc_court_ordered_2022,34,034,HD-034,37034,State House District 34,64691
state_house,2022,nc_court_ordered_2022,35,035,HD-035,37035,State House District 35,66842
state_house,2022,nc_court_ordered_2022,36,036,HD-036,37036,State House District 36,61379
state_house,2022,nc_court_ordered_2022,37,037,HD-037,37037,State House District 37,65184
state_house,2022,nc_court_ordered_2022,38,038,HD-038,37038,State House District 38,66549
state_house,2022,nc_court_ordered_2022,39,039,HD-039,37039,State House District 39,63563
state_house,2022,nc_court_ordered_2022,40,040,HD-040,37040,State House District 40,63910
state_house,2022,nc_court_ordered_2022,41,041,HD-041,37041,State House District 41,59025
state_house,2022,nc_court_ordered_2022,42,042,HD-042,37042,State House District 42,64312
state_house,2022,nc_court_ordered_2022,43,043,HD-043,37043,State House District 43,62353
state_house,2022,nc_court_ordered_2022,44,044,HD-044,37044,State House District 44,61959
state_house,2022,nc_court_ordered_2022,45,045,HD-045,37045,State House District 45,56465
state_house,2022,nc_court_ordered_2022,46,046,HD-046,37046,State House District 46,61268
state_house,2022,nc_court_ordered_2022,47,047,HD-047,37047,State House District 47,60038
state_house,2022,nc_court_ordered_2022,48,048,HD-048,37048,State House District 48,62609
state_house,2022,nc_court_ordered_2022,49,049,HD-049,37049,State House District 49,65872
state_house,2022,nc_court_ordered_2022,50,050,HD-050,37050,State House District 50,64933
state_house,2022,nc_court_ordered_2022,51,051,HD-051,37051,State House District 51,61723
state_house,2022,nc_court_ordered_2022,52,052,HD-052,37052,State House District 52,64143
state_house,2022,nc_court_ordered_2022,53,053,HD-053,37053,State House District 53,68768
state_house,2022,nc_court_ordered_2022,54,054,HD-054,37054,State House District 54,64654
state_house,2022,nc_court_ordered_2022,55,055,HD-055,37055,State House District 55,62723
state_house,2022,nc_court_ordered_2022,56,056,HD-056,37056,State House District 56,65225
state_house,2022,nc_court_ordered_2022,57,057,HD-057,37057,State House District 57,65679
state_house,2022,nc_court_ordered_2022,58,058,HD-058,37058,State House District 58,63274
state_house,2022,nc_court_ordered_2022,59,059,HD-059,37059,State House District 59,66872
state_house,2022,nc_court_ordered_2022,60,060,HD-060,37060,State House District 60,66168
state_house,2022,nc_court_ordered_2022,61,061,HD-061,37061,State House District 61,68295
state_house,2022,nc_court_ordered_2022,62,062,HD-062,37062,State House District 62,68270
state_house,2022,nc_court_ordered_2022,63,063,HD-063,37063,State House District 63,60419
state_house,2022,nc_court_ordered_2022,64,064,HD-064,37064,State House District 64,67922
state_house,2022,nc_court_ordered_2022,65,065,HD-065,37065,State House District 65,71757
state_house,2022,nc_court_ordered_2022,66,066,HD-066,37066,State House District 66,60169
state_house,2022,nc_court_ordered_2022,67,067,HD-067,37067,State House District 67,68419
state_house,2022,nc_court_ordered_2022,68,068,HD-068,37068,State House District 68,60606
state_house,2022,nc_court_ordered_2022,69,069,HD-069,37069,State House District 69,67485
state_house,2022,nc_court_ordered_2022,70,070,HD-070,37070,State House District 70,64895
state_house,2022,nc_court_ordered_2022,71,071,HD-071,37071,State House District 71,58698
state_house,2022,nc_court_ordered_2022,72,072,HD-072,37072,State House District 72,57418
state_house,2022,nc_court_ordered_2022,73,073,HD-073,37073,State House District 73,62764
state_house,2022,nc_court_ordered_2022,74,074,HD-074,37074,State House District 74,67118
state_house,2022,nc_court_ordered_2022,75,075,HD-075,37075,State House District 75,64957
state_house,2022,nc_court_ordered_2022,76,076,HD-076,37076,State House District 76,68723
state_house,2022,nc_court_ordered_2022,77,077,HD-077,37077,State House District 77,70209
state_house,2022,nc_court_ordered_2022,78,078,HD-078,37078,State House District 78,68671
state_house,2022,nc_court_ordered_2022,79,079,HD-079,37079,State House District 79,66800
state_house,2022,nc_court_ordered_2022,80,080,HD-080,37080,State House District 80,65903
state_house,2022,nc_court_ordered_2022,81,081,HD-081,37081,State House District 81,65079
state_house,2022,nc_court_ordered_2022,82,082,HD-082,37082,State House District 82,64631
state_house,2022,nc_court_ordered_2022,83,083,HD-083,37083,State House District 83,69476
state_house,2022,nc_court_ordered_2022,84,084,HD-084,37084,State House District 84,67720
state_house,2022,nc_court_ordered_2022,85,085,HD-085,37085,State House District 85,71939
state_house,2022,nc_court_ordered_2022,86,086,HD-086,37086,State House District 86,69822
state_house,2022,nc_court_ordered_2022,87,087,HD-087,37087,State House District 87,67303
state_house,2022,nc_court_ordered_2022,88,088,HD-088,37088,State House District 88,64208
state_house,2022,nc_court_ordered_2022,89,089,HD-089,37089,State House District 89,69018
state_house,2022,nc_court_ordered_2022,90,090,HD-090,37090,State House District 90,62883
state_house,2022,nc_court_ordered_2022,91,091,HD-091,37091,State House District 91,69438
state_house,2022,nc_court_ordered_2022,92,092,HD-092,37092,State House District 92,67128
state_house,2022,nc_court_ordered_2022,93,093,HD-093,37093,State House District 93,74218
state_house,2022,nc_court_ordered_2022,94,094,HD-094,37094,State House District 94,70741
state_house,2022,nc_court_ordered_2022,95,095,HD-095,37095,State House District 95,65825
state_house,2022,nc_court_ordered_2022,96,096,HD-096,37096,State House District 96,65838
state_house,2022,nc_court_ordered_2022,97,097,HD-097,37097,State House District 97,71070
state_house,2022,nc_court_ordered_2022,98,098,HD-098,37098,State House District 98,63405
state_house,2022,nc_court_ordered_2022,99,099,HD-099,37099,State House District 99,52829
state_house,2022,nc_court_ordered_2022,100,100,HD-100,37100,State House District 100,49290
state_house,2022,nc_court_ordered_2022,101,101,HD-101,37101,State House District 101,61116
state_house,2022,nc_court_ordered_2022,102,102,HD-102,37102,State House District 102,69027
state_house,2022,nc_court_ordered_2022,103,103,HD-103,37103,State House District 103,62688
state_house,2022,nc_court_ordered_2022,104,104,HD-104,37104,State House District 104,57804
state_house,2022,nc_court_ordered_2022,105,105,HD-105,37105,State House District 105,55424
state_house,2022,nc_court_ordered_2022,106,106,HD-106,37106,State House District 106,64574
state_house,2022,nc_court_ordered_2022,107,107,HD-107,37107,State House District 107,58297
state_house,2022,nc_court_ordered_2022,108,108,HD-108,37108,State House District 108,66807
state_house,2022,nc_court_ordered_2022,109,109,HD-109,37109,State House District 109,66596
state_house,2022,nc_court_ordered_2022,110,110,HD-110,37110,State House District 110,67474
state_house,2022,nc_court_ordered_2022,111,111,HD-111,37111,State House District 111,70231
state_house,2022,nc_court_ordered_2022,112,112,HD-112,37112,State House District 112,60484
state_house,2022,nc_court_ordered_2022,113,113,HD-113,37113,State House District 113,72529
state_house,2022,nc_court_ordered_2022,114,114,HD-114,37114,State House District 114,72467
state_house,2022,nc_court_ordered_2022,115,115,HD-115,37115,State House District 115,70294
state_house,2022,nc_court_ordered_2022,116,116,HD-116,37116,State House District 116,72795
state_house,2022,nc_court_ordered_2022,117,117,HD-117,37117,State House District 117,71931
state_house,2022,nc_court_ordered_2022,118,118,HD-118,37118,State House District 118,68760
state_house,2022,nc_court_ordered_2022,119,119,HD-119,37119,State House District 119,73912
state_house,2022,nc_court_ordered_2022,120,120,HD-120,37120,State House District 120,70589
