ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",199623,-0.0439,0.489,0.5066,0.0044,160716,0.6329,0.3671,0.0397,0.2949,0.0115,0.0216,0.0019,
"2",198557,-0.049,0.4584,0.5383,0.0032,162322,0.6313,0.3687,0.0314,0.3001,0.0094,0.0299,0.0019,
"3",200494,-0.0397,0.4043,0.5924,0.0033,158711,0.6359,0.3641,0.06,0.2666,0.0213,0.0186,0.0019,
"4",216568,0.0373,0.4453,0.552,0.0027,168123,0.5204,0.4796,0.1002,0.3502,0.0167,0.0204,0.0017,
"5",219143,0.0496,0.502,0.4954,0.0026,170462,0.5059,0.4941,0.0602,0.4035,0.0196,0.0166,0.0013,
"6",204576,-0.0202,0.2926,0.7035,0.004,157467,0.6571,0.3429,0.125,0.1533,0.038,0.0311,0.0076,
"7",198476,-0.0494,0.3909,0.6048,0.0043,162025,0.8021,0.1979,0.0623,0.0905,0.0226,0.0198,0.002,
"8",214542,0.0276,0.4789,0.5169,0.0042,179010,0.7466,0.2534,0.0443,0.1708,0.0092,0.028,0.001,
"9",202791,-0.0287,0.4366,0.5607,0.0027,156503,0.6103,0.3897,0.1201,0.2392,0.0069,0.0302,0.0012,
"10",215999,0.0345,0.3046,0.6918,0.0035,160099,0.6676,0.3324,0.1318,0.1673,0.0131,0.0247,0.0013,
"11",206121,-0.0128,0.4572,0.5401,0.0027,160589,0.5377,0.4623,0.0705,0.3665,0.0109,0.0202,0.0011,
"12",200794,-0.0383,0.3633,0.6341,0.0026,149452,0.6227,0.3773,0.1319,0.2061,0.0176,0.0297,0.003,
"13",198371,-0.0499,0.3526,0.643,0.0044,145851,0.7165,0.2835,0.0938,0.1256,0.0446,0.0202,0.0015,
"14",198512,-0.0492,0.6453,0.3508,0.0039,149325,0.3573,0.6427,0.155,0.4418,0.0397,0.0225,0.0016,
"15",198368,-0.0499,0.5216,0.4728,0.0056,160044,0.6189,0.3811,0.1068,0.2083,0.0555,0.017,0.001,
"16",198384,-0.0498,0.4809,0.5121,0.007,160186,0.6697,0.3303,0.0877,0.1388,0.0887,0.0171,0.0017,
"17",198415,-0.0497,0.4127,0.5816,0.0057,142855,0.5443,0.4557,0.0633,0.1051,0.2733,0.0136,0.0017,
"18",198352,-0.05,0.3888,0.6071,0.0041,150013,0.6781,0.3219,0.0741,0.2018,0.0291,0.0187,0.0013,
"19",216471,0.0368,0.5151,0.4816,0.0034,165245,0.3569,0.6431,0.1023,0.4807,0.0436,0.0373,0.0071,
"20",201314,-0.0358,0.6139,0.3796,0.0066,161604,0.5542,0.4458,0.0994,0.271,0.062,0.0188,0.001,
"21",217984,0.044,0.3639,0.6331,0.003,167448,0.6607,0.3393,0.086,0.1956,0.0274,0.0347,0.0043,
"22",199804,-0.043,0.6609,0.3344,0.0047,158749,0.4416,0.5584,0.148,0.3477,0.053,0.0222,0.0011,
"23",210529,0.0083,0.5467,0.4456,0.0077,169086,0.6684,0.3316,0.0751,0.1673,0.0702,0.0201,0.0012,
"24",202786,-0.0287,0.529,0.4682,0.0028,152772,0.3385,0.6615,0.0835,0.2963,0.0148,0.2823,0.0027,
"25",217448,0.0415,0.3476,0.6483,0.0041,170047,0.6739,0.3261,0.1069,0.1777,0.0213,0.0261,0.0011,
"26",211801,0.0144,0.3344,0.6615,0.0041,166378,0.7055,0.2945,0.0544,0.196,0.0253,0.0214,0.001,
"27",210558,0.0085,0.4735,0.5213,0.0053,165811,0.581,0.419,0.0756,0.2601,0.0674,0.0193,0.0012,
"28",210036,0.006,0.6785,0.3165,0.005,164357,0.3292,0.6708,0.0985,0.5142,0.0528,0.0216,0.0014,
"29",218829,0.0481,0.3834,0.6132,0.0034,170384,0.665,0.335,0.1081,0.1911,0.0121,0.0277,0.0009,
"30",211642,0.0137,0.2753,0.7204,0.0043,165963,0.8042,0.1958,0.0644,0.0921,0.0153,0.0243,0.0007,
"31",215359,0.0315,0.2975,0.6986,0.0039,168690,0.7599,0.2401,0.0742,0.1234,0.022,0.0231,0.0011,
