year,candidate,party,notes
2018,Christopher (Chris) Anglin,OTHER,Supreme Court Seat 1; Republican ballot label but not the Republican-backed nominee
2004,Alice C. Stubbs,REP,Court of Appeals Bryant seat
2004,Wanda G. Bryant,DEM,Court of Appeals Bryant seat
2004,Bill Parker,REP,Court of Appeals McGee seat
2004,Linda McGee,DEM,Court of Appeals McGee seat
2004,Alan Thornburg,DEM,Court of Appeals Thornburg seat
2004,Barbara Jackson,REP,Court of Appeals Thornburg seat
2004,Betsy McCrodden,DEM,Supreme Court Orr seat
2004,"Fred Morrison, Jr.",DEM,Supreme Court Orr seat
2004,"Howard E. Manning, Jr.",REP,Supreme Court Orr seat
2004,"James A. Wynn, Jr.",DEM,Supreme Court Orr seat
2004,Marvin Schiller,REP,Supreme Court Orr seat
2004,Paul Martin Newby,REP,Supreme Court Orr seat
2004,Rachel Lea Hunter,REP,Supreme Court Orr seat
2004,Ronnie Ansley,DEM,Supreme Court Orr seat
2004,John M. Tyson,REP,Supreme Court Parker seat
2004,Sarah Parker,DEM,Supreme Court Parker seat
2006,Kris Bailey,REP,Court of Appeals Hunter seat
2006,Robert C. (Bob) Hunter,DEM,Court of Appeals Hunter seat
2006,Donna Stroud,REP,Court of Appeals Stephens seat
2006,Linda Stephens,DEM,Court of Appeals Stephens seat
2006,Rusty Duke,REP,Supreme Court Chief Justice
2006,Sarah Parker,DEM,Supreme Court Chief Justice
2006,Mark D. Martin,REP,Supreme Court Martin seat
2006,Rachel Lea Hunter,DEM,Supreme Court Martin seat
2006,Eric Levinson,REP,Supreme Court Timmons-Goodson seat
2006,Patricia Timmons-Goodson,DEM,Supreme Court Timmons-Goodson seat
2006,Ann Marie Calabria,REP,Supreme Court Wainwright seat
2006,Robin Hudson,DEM,Supreme Court Wainwright seat
2008,John S. Arrowood,DEM,Court of Appeals Arrowood seat
2008,"Robert N. (Bob) Hunter, Jr.",REP,Court of Appeals Arrowood seat
2008,John C. Martin,DEM,Court of Appeals Martin seat (unopposed - excluded)
2008,Cheri Beasley,DEM,Court of Appeals McCullough seat
2008,Doug McCullough,REP,Court of Appeals McCullough seat
2008,Dan Barrett,REP,Court of Appeals Stephens seat
2008,Linda Stephens,DEM,Court of Appeals Stephens seat
2008,Kristin Ruth,DEM,Court of Appeals Tyson seat (both general candidates Dem - excluded as uncontested partisan)
2008,"Sam J. Ervin, IV",DEM,Court of Appeals Tyson seat (both general candidates Dem - excluded as uncontested partisan)
2008,James A. (Jim) Wynn,DEM,Court of Appeals Wynn seat
2008,Jewel Ann Farlow,REP,Court of Appeals Wynn seat
2008,Robert H. (Bob) Edmunds Jr.,REP,Supreme Court Edmunds seat
2008,Suzanne Reynolds,DEM,Supreme Court Edmunds seat
2010,Ann Marie Calabria,REP,Court of Appeals Calabria seat
2010,Jane Gray,DEM,Court of Appeals Calabria seat
2010,Rick Elmore,REP,Court of Appeals Elmore seat (both R - excluded as uncontested partisan)
2010,Steven Walker,REP,Court of Appeals Elmore seat (both R - excluded as uncontested partisan)
2010,Dean R. Poirier,REP,Court of Appeals Geer seat
2010,Martha Geer,DEM,Court of Appeals Geer seat
2010,Anne Middleton,DEM,Court of Appeals IRV / Wynn vacancy
2010,Chris Dillon,REP,Court of Appeals IRV / Wynn vacancy
2010,Daniel E. Garner,REP,Court of Appeals IRV / Wynn vacancy
2010,"Harry E. Payne, Jr.",DEM,Court of Appeals IRV / Wynn vacancy
2010,J. Wesley Casteen,OTHER,Court of Appeals IRV / Wynn vacancy
2010,Jewel Ann Farlow,REP,Court of Appeals IRV / Wynn vacancy
2010,John F. Bloss,OTHER,Court of Appeals IRV / Wynn vacancy
2010,John Sullivan,DEM,Court of Appeals IRV / Wynn vacancy
2010,Mark E. Klass,DEM,Court of Appeals IRV / Wynn vacancy
2010,Pamela M. Vesper,OTHER,Court of Appeals IRV / Wynn vacancy
2010,Stan Hammer,DEM,Court of Appeals IRV / Wynn vacancy
2010,Cressie Thigpen,DEM,Court of Appeals IRV / Wynn vacancy (top two lean)
2010,Doug McCullough,REP,Court of Appeals IRV / Wynn vacancy (top two lean)
2010,Sanford Steelman,REP,Court of Appeals Steelman seat (unopposed - excluded)
2010,Barbara Jackson,REP,Supreme Court Brady seat
2010,Robert C. (Bob) Hunter,DEM,Supreme Court Brady seat
2012,Marty McGee,REP,Court of Appeals Bryant seat
2012,Wanda Bryant,DEM,Court of Appeals Bryant seat
2012,David S. Robinson,REP,Court of Appeals McGee seat
2012,Linda McGee,DEM,Court of Appeals McGee seat
2012,Chris Dillon,REP,Court of Appeals Thigpen seat
2012,Cressie Thigpen,DEM,Court of Appeals Thigpen seat
2012,Paul Martin Newby,REP,Supreme Court Newby seat
2012,Sam J. Ervin IV,DEM,Supreme Court Newby seat
2014,Mark Davis,DEM,Court of Appeals Davis seat
2014,Paul Holcombe,REP,Court of Appeals Davis seat
2014,Bill Southern,REP,Court of Appeals Hunter seat
2014,Lucy Inman,DEM,Court of Appeals Hunter seat
