court,seat,year,oe_office,contest_type,incumbent_label,winner,notes
supreme,6,2000,ASSOC JUSTICE NC SUPREME COURT,nc_supreme_court_associate_justice_seat_06,Franklin Freeman,Robert H. Edmunds Jr.,Wikipedia Freeman seat; later Edmunds/Morgan Seat 6
supreme,CJ,2000,CHIEF JUSTICE NC SUPREME COURT,nc_supreme_court_chief_justice_seat_01,Henry E. Frye,I. Beverly Lake Jr.,Lake then Parker then Martin / CJ Seat 01
supreme,1,2002,SUPREME COURT (BUTTERFIELD),nc_supreme_court_associate_justice_seat_01,G. K. Butterfield,Edward Thomas Brady,Brady 2010 / Jackson / Earls 2018 Seat 1
supreme,2,2002,SUPREME COURT (ORR),nc_supreme_court_associate_justice_seat_02,Bob Orr,Robert F. (Bob) Orr,Newby 2004 vacancy / Newby 2012 / Seat 02
supreme,2,2004,SUPREME COURT ASSOCIATE JUSTICE (ORR),nc_supreme_court_associate_justice_seat_02,Bob Orr (vacancy),Paul Martin Newby,8-way plurality; Newby/Wynn as D-R others as OTHER; first nonpartisan cycle
supreme,4,2004,SUPREME COURT ASSOCIATE JUSTICE (PARKER),nc_supreme_court_associate_justice_seat_04,Sarah Parker,Sarah Parker,Parker promoted to CJ 2006; TG appointed to this seat
coa,4,2004,COURT OF APPEALS JUDGE (MCGEE),nc_court_of_appeals_judge_seat_04,Linda McGee,Linda McGee,McGee 2012 / Seat 04
coa,5,2004,COURT OF APPEALS JUDGE (BRYANT),nc_court_of_appeals_judge_seat_05,Wanda Bryant,Wanda Bryant,Different from 2002 Bryant/Seat 2; Bryant 2012 / Seat 05
coa,6,2004,COURT OF APPEALS JUDGE (THORNBURG),nc_court_of_appeals_judge_seat_06,Alan Thornburg,Barbara Jackson,Jackson later to SC Seat 1; Thigpen/Dillon Seat 06
supreme,CJ,2006,SUPREME COURT CHIEF JUSTICE,nc_supreme_court_chief_justice_seat_01,Sarah Parker,Sarah Parker,Parker 2014 CJ seat / Martin / Beasley / Newby CJ Seat 01
supreme,3,2006,SUPREME COURT ASSOCIATE JUSTICE (WAINWRIGHT),nc_supreme_court_associate_justice_seat_03,George Wainwright,Robin Hudson,Hudson 2014 / Dietz 2022 Seat 3
supreme,4,2006,SUPREME COURT ASSOCIATE JUSTICE (TIMMONS-GOODSON),nc_supreme_court_associate_justice_seat_04,Patricia Timmons-Goodson,Patricia Timmons-Goodson,Appointed after Parker to CJ; Beasley 2012 / Seat 04
supreme,5,2006,SUPREME COURT ASSOCIATE JUSTICE (MARTIN),nc_supreme_court_associate_justice_seat_05,Mark D. Martin,Mark D. Martin,Ervin 2014 after Martin to CJ / Seat 05
coa,8,2006,COURT OF APPEALS JUDGE (HUNTER),nc_court_of_appeals_judge_seat_08,Robert C. (Bob) Hunter,Robert C. (Bob) Hunter,Inman 2014; not Hunter Jr Seat 13
coa,9,2006,COURT OF APPEALS JUDGE (STEPHENS),nc_court_of_appeals_judge_seat_09,Linda Stephens,Donna Stroud,Stroud wins Seat 9; Stephens later appointed to Seat 11 (Hudson)
coa,1,2000,CT OF APPEALS JUDGE (WYNN),nc_court_of_appeals_judge_seat_01,James Andrew Wynn Jr.,James Andrew Wynn Jr.,Wynn 2008 Seat 1
coa,7,2000,CT OF APPEALS JUDGE (HORTON),nc_court_of_appeals_judge_seat_07,Clarence E. Horton Jr.,Doug McCullough,McCullough 2008 Seat 7
coa,10,2000,CT OF APPEALS JUDGE (MARTIN),nc_court_of_appeals_judge_seat_10,John C. Martin,John C. Martin,Martin 2008 Seat 10
coa,11,2000,CT OF APPEALS JUDGE (LEWIS),nc_court_of_appeals_judge_seat_11,John Lewis Jr.,Robin Hudson,Hudson to SC; Stephens Seat 11
coa,13,2000,CT OF APPEALS JUDGE (JOHN),nc_court_of_appeals_judge_seat_13,Joe John,John M. Tyson,Tyson 2008 Seat 13; Tyson 2014 is Seat 10
coa,2,2002,CT OF APPEALS JUDGE (BRYANT),nc_court_of_appeals_judge_seat_02,Wanda Bryant,Ann Marie Calabria,Calabria 2010 Seat 2; not 2004 Bryant Seat 5
coa,3,2002,CT OF APPEALS JUDGE (WALKER),nc_court_of_appeals_judge_seat_03,Ralph Walker,Rick Elmore,Elmore 2010 Seat 3
coa,12,2002,CT OF APPEALS JUDGE (CAMPBELL),nc_court_of_appeals_judge_seat_12,Hugh Brown Campbell Jr.,Eric Levinson,Arrowood / Hunter Jr / Dietz COA Seat 12
coa,14,2002,CT OF APPEALS JUDGE (BIGGS),nc_court_of_appeals_judge_seat_14,Loretta C. Biggs,Sanford L. Steelman Jr.,Steelman / Zachary Seat 14
coa,15,2002,CT OF APPEALS JUDGE (THOMAS),nc_court_of_appeals_judge_seat_15,Thomas,Martha Geer,Geer 2010/2016 Seat 15
