"year","raw_precinct_key","canonical_precinct_key"
"2002","WAKE - 01-01 01-01","WAKE - 01-01"
"2002","WAKE - 01-02 01-02","WAKE - 01-02"
"2002","WAKE - 01-03 01-03","WAKE - 01-03"
"2002","WAKE - 01-04 01-04","WAKE - 01-04"
"2002","WAKE - 01-05 01-05","WAKE - 01-05"
"2002","WAKE - 01-06 01-06","WAKE - 01-06"
"2002","WAKE - 01-07 01-07","WAKE - 01-07"
"2002","WAKE - 01-09 01-09","WAKE - 01-09"
"2002","WAKE - 01-10 01-10","WAKE - 01-10"
"2002","WAKE - 01-11 01-11","WAKE - 01-11"
"2002","WAKE - 01-12 01-12","WAKE - 01-12"
"2002","WAKE - 01-13 01-13","WAKE - 01-13"
"2002","WAKE - 01-14 01-14","WAKE - 01-14"
"2002","WAKE - 01-15 01-15","WAKE - 01-15"
"2002","WAKE - 01-16 01-16","WAKE - 01-16"
"2002","WAKE - 01-17 01-17","WAKE - 01-17"
"2002","WAKE - 01-18 01-18","WAKE - 01-18"
"2002","WAKE - 01-19 01-19","WAKE - 01-19"
"2002","WAKE - 01-20 01-20","WAKE - 01-20"
"2002","WAKE - 01-21 01-21","WAKE - 01-21"
"2002","WAKE - 01-22 01-22","WAKE - 01-22"
"2002","WAKE - 01-23 01-23","WAKE - 01-23"
"2002","WAKE - 01-25 01-25","WAKE - 01-25"
"2002","WAKE - 01-26 01-26","WAKE - 01-26"
"2002","WAKE - 01-27 01-27","WAKE - 01-27"
"2002","WAKE - 01-28 01-28","WAKE - 01-28"
"2002","WAKE - 01-29 01-29","WAKE - 01-29"
"2002","WAKE - 01-30 01-30","WAKE - 01-30"
"2002","WAKE - 01-31 01-31","WAKE - 01-31"
"2002","WAKE - 01-32 01-32","WAKE - 01-32"
"2002","WAKE - 01-33 01-33","WAKE - 01-33"
"2002","WAKE - 01-34 01-34","WAKE - 01-34"
"2002","WAKE - 01-35 01-35","WAKE - 01-35"
"2002","WAKE - 01-36 01-36","WAKE - 01-36"
"2002","WAKE - 01-37 01-37","WAKE - 01-37"
"2002","WAKE - 01-38 01-38","WAKE - 01-38"
"2002","WAKE - 01-39 01-39","WAKE - 01-39"
"2002","WAKE - 01-40 01-40","WAKE - 01-40"
"2002","WAKE - 01-41 01-41","WAKE - 01-41"
"2002","WAKE - 01-42 01-42","WAKE - 01-42"
"2002","WAKE - 01-43 01-43","WAKE - 01-43"
"2002","WAKE - 01-44 01-44","WAKE - 01-44"
"2002","WAKE - 01-45 01-45","WAKE - 01-45"
"2002","WAKE - 01-46 01-46","WAKE - 01-46"
"2002","WAKE - 01-47 01-47","WAKE - 01-47"
"2002","WAKE - 01-48 01-48","WAKE - 01-48"
"2002","WAKE - 01-49 01-49","WAKE - 01-49"
"2002","WAKE - 01-50 01-50","WAKE - 01-50"
"2002","WAKE - 01-51 01-51","WAKE - 01-51"
"2002","WAKE - 02-01 02-01","WAKE - 02-01"
"2002","WAKE - 02-02 02-02","WAKE - 02-02"
"2002","WAKE - 02-03 02-03","WAKE - 02-03"
"2002","WAKE - 02-04 02-04","WAKE - 02-04"
"2002","WAKE - 02-05 02-05","WAKE - 02-05"
"2002","WAKE - 02-06 02-06","WAKE - 02-06"
"2002","WAKE - 04-01 04-01","WAKE - 04-01"
"2002","WAKE - 04-02 04-02","WAKE - 04-02"
"2002","WAKE - 04-03 04-03","WAKE - 04-03"
"2002","WAKE - 04-04 04-04","WAKE - 04-04"
"2002","WAKE - 04-05 04-05","WAKE - 04-05"
"2002","WAKE - 04-06 04-06","WAKE - 04-06"
"2002","WAKE - 04-07 04-07","WAKE - 04-07"
"2002","WAKE - 04-08 04-08","WAKE - 04-08"
"2002","WAKE - 04-09 04-09","WAKE - 04-09"
"2002","WAKE - 04-10 04-10","WAKE - 04-10"
"2002","WAKE - 04-11 04-11","WAKE - 04-11"
"2002","WAKE - 04-12 04-12","WAKE - 04-12"
"2002","WAKE - 04-13 04-13","WAKE - 04-13"
"2002","WAKE - 04-14 04-14","WAKE - 04-14"
"2002","WAKE - 04-15 04-15","WAKE - 04-15"
"2002","WAKE - 04-16 04-16","WAKE - 04-16"
"2002","WAKE - 04-17 04-17","WAKE - 04-17"
"2002","WAKE - 04-18 04-18","WAKE - 04-18"
"2002","WAKE - 04-19 04-19","WAKE - 04-19"
"2002","WAKE - 04-20 04-20","WAKE - 04-20"
"2002","WAKE - 04-21 04-21","WAKE - 04-21"
"2002","WAKE - 05-01 05-01","WAKE - 05-01"
"2002","WAKE - 05-03 05-03","WAKE - 05-03"
"2002","WAKE - 07-01 07-01","WAKE - 07-01"
"2002","WAKE - 07-02 07-02","WAKE - 07-02"
"2002","WAKE - 07-03 07-03","WAKE - 07-03"
"2002","WAKE - 07-04 07-04","WAKE - 07-04"
