year,county,precinct,office,party,candidate,original_votes,corrected_votes,note
2020,SCOTLAND,PROVISIONAL,US PRESIDENT,DEM,Joseph R. Biden,25,53,Scotland County 2020 president source correction: benchmark has Biden/Trump totals reversed from source CSV.
2020,SCOTLAND,06-89,US PRESIDENT,DEM,Joseph R. Biden,115,372,Scotland County 2020 president source correction: benchmark has Biden/Trump totals reversed from source CSV.
2020,SCOTLAND,02-25,US PRESIDENT,REP,Donald J. Trump,161,177,Scotland County 2020 president source correction: benchmark has Biden/Trump totals reversed from source CSV.
2020,SCOTLAND,05-10,US PRESIDENT,REP,Donald J. Trump,255,126,Scotland County 2020 president source correction: benchmark has Biden/Trump totals reversed from source CSV.
2020,SCOTLAND,01-16,US PRESIDENT,DEM,Joseph R. Biden,225,103,Scotland County 2020 president source correction: benchmark has Biden/Trump totals reversed from source CSV.
2020,SCOTLAND,ONE STOP ANNEX CONF RM,US PRESIDENT,REP,Donald J. Trump,5375,5059,Scotland County 2020 president source correction: benchmark has Biden/Trump totals reversed from source CSV.
2020,SCOTLAND,04,US PRESIDENT,DEM,Joseph R. Biden,109,219,Scotland County 2020 president source correction: benchmark has Biden/Trump totals reversed from source CSV.
2020,SCOTLAND,03,US PRESIDENT,REP,Donald J. Trump,194,125,Scotland County 2020 president source correction: benchmark has Biden/Trump totals reversed from source CSV.
2020,SCOTLAND,ABSENTEE,US PRESIDENT,REP,Donald J. Trump,540,1011,Scotland County 2020 president source correction: benchmark has Biden/Trump totals reversed from source CSV.
2020,SCOTLAND,01-16,US PRESIDENT,REP,Donald J. Trump,103,225,Scotland County 2020 president source correction: benchmark has Biden/Trump totals reversed from source CSV.
2020,SCOTLAND,PROVISIONAL,US PRESIDENT,REP,Donald J. Trump,53,25,Scotland County 2020 president source correction: benchmark has Biden/Trump totals reversed from source CSV.
2020,SCOTLAND,05-10,US PRESIDENT,DEM,Joseph R. Biden,126,255,Scotland County 2020 president source correction: benchmark has Biden/Trump totals reversed from source CSV.
2020,SCOTLAND,03,US PRESIDENT,DEM,Joseph R. Biden,125,194,Scotland County 2020 president source correction: benchmark has Biden/Trump totals reversed from source CSV.
2020,SCOTLAND,02-25,US PRESIDENT,DEM,Joseph R. Biden,177,161,Scotland County 2020 president source correction: benchmark has Biden/Trump totals reversed from source CSV.
2020,SCOTLAND,ONE STOP ANNEX CONF RM,US PRESIDENT,DEM,Joseph R. Biden,5059,5375,Scotland County 2020 president source correction: benchmark has Biden/Trump totals reversed from source CSV.
2020,SCOTLAND,07,US PRESIDENT,DEM,Joseph R. Biden,214,201,Scotland County 2020 president source correction: benchmark has Biden/Trump totals reversed from source CSV.
2020,SCOTLAND,07,US PRESIDENT,REP,Donald J. Trump,201,214,Scotland County 2020 president source correction: benchmark has Biden/Trump totals reversed from source CSV.
2020,SCOTLAND,06-89,US PRESIDENT,REP,Donald J. Trump,372,115,Scotland County 2020 president source correction: benchmark has Biden/Trump totals reversed from source CSV.
2020,SCOTLAND,ABSENTEE,US PRESIDENT,DEM,Joseph R. Biden,1011,540,Scotland County 2020 president source correction: benchmark has Biden/Trump totals reversed from source CSV.
2020,SCOTLAND,04,US PRESIDENT,REP,Donald J. Trump,219,109,Scotland County 2020 president source correction: benchmark has Biden/Trump totals reversed from source CSV.
