"year","raw_precinct_key","count","top_candidate","top_score","tier","reason","candidate_2","candidate_3","score_gap_vs_c2","already_overridden","override_value","recommended_action"
"2020","DURHAM - 30-1","12","DURHAM - 01","0.7200","MANUAL_REQUIRED","fuzzy","DURHAM - 30-3","DURHAM - 30-2","","NO","","MANUAL_RESEARCH"
"2020","CUMBERLAND - G2C-2","12","CUMBERLAND - G2C-1","0.6750","MANUAL_REQUIRED","fuzzy","CUMBERLAND - G2E-2","CUMBERLAND - G5B-2","","NO","","MANUAL_RESEARCH"
"2020","WAKE - 06-09","12","WAKE - 20-09","0.6750","MANUAL_REQUIRED","fuzzy","WAKE - 06-06","WAKE - 06-10","","NO","","MANUAL_RESEARCH"
"2020","WAKE - 12-05","12","WAKE - 01-05","0.6750","MANUAL_REQUIRED","fuzzy","WAKE - 12-08","WAKE - 10-05","","NO","","MANUAL_RESEARCH"
"2020","WAKE - 19-12","12","WAKE - 19-16","0.6750","MANUAL_REQUIRED","fuzzy","WAKE - 19-14","WAKE - 19-18","","NO","","MANUAL_RESEARCH"
"2020","DURHAM - 35.3","12","DURHAM - 30-3","0.6000","MANUAL_REQUIRED","fuzzy","DURHAM - 35-4","DURHAM - 35-5","","NO","","MANUAL_RESEARCH"
"2020","BURKE - 0029-A","12","BURKE - 0047-A","0.5400","MANUAL_REQUIRED","fuzzy","BURKE - 0071","","","NO","","MANUAL_RESEARCH"
"2020","BURKE - 0029-B","12","BURKE - 0047-B","0.5400","MANUAL_REQUIRED","fuzzy","BURKE - 0071","","","NO","","MANUAL_RESEARCH"
"2020","CUMBERLAND - EO61-1","12","CUMBERLAND - G2E-1","0.4000","MANUAL_REQUIRED","fuzzy","CUMBERLAND - AL51-1","CUMBERLAND - G2C-1","","NO","","MANUAL_RESEARCH"
"2020","CUMBERLAND - EO61-2","12","CUMBERLAND - G2E-2","0.4000","MANUAL_REQUIRED","fuzzy","CUMBERLAND - AL51-2","CUMBERLAND - G5B-2","","NO","","MANUAL_RESEARCH"
