year,status,raw_precinct_key,count,suggested_canonical_precinct_key,score,tier,reason,candidate_2,candidate_3
2016,AMBIGUOUS,GATES - 4N,12,GATES - 4N,1.0000,AUTO_ACCEPT,exact_prec_id,,
2016,AMBIGUOUS,GATES - 4S,12,GATES - 4S,1.0000,AUTO_ACCEPT,exact_prec_id,,
2016,AMBIGUOUS,ROBESON - 11A,12,ROBESON - 11A,1.0000,AUTO_ACCEPT,exact_prec_id,,
2016,AMBIGUOUS,WAKE - 01-07A,12,WAKE - 01-07,0.8000,MANUAL_REQUIRED,fuzzy,WAKE - 01-37,WAKE - 01-17
2016,AMBIGUOUS,WAKE - 07-07A,12,WAKE - 07-07,0.8000,MANUAL_REQUIRED,fuzzy,WAKE - 17-07,WAKE - 07-10
2016,AMBIGUOUS,DURHAM - 30-1,12,DURHAM - 01,0.7200,MANUAL_REQUIRED,fuzzy,DURHAM - 33-1,DURHAM - 34-1
2016,AMBIGUOUS,CABARRUS - 01-06,12,CABARRUS - 01-07,0.6750,MANUAL_REQUIRED,fuzzy,CABARRUS - 02-06,CABARRUS - 01-04
2016,AMBIGUOUS,CABARRUS - 01-09,12,CABARRUS - 01-02,0.6750,MANUAL_REQUIRED,fuzzy,CABARRUS - 04-09,CABARRUS - 01-04
2016,AMBIGUOUS,CABARRUS - 04-02,12,CABARRUS - 04-01,0.6750,MANUAL_REQUIRED,fuzzy,CABARRUS - 04-03,CABARRUS - 01-02
2016,AMBIGUOUS,CABARRUS - 04-04,12,CABARRUS - 04-09,0.6750,MANUAL_REQUIRED,fuzzy,CABARRUS - 04-01,CABARRUS - 04-08
2016,AMBIGUOUS,CABARRUS - 04-05,12,CABARRUS - 04-09,0.6750,MANUAL_REQUIRED,fuzzy,CABARRUS - 04-01,CABARRUS - 02-05
2016,AMBIGUOUS,CABARRUS - 04-06,12,CABARRUS - 04-09,0.6750,MANUAL_REQUIRED,fuzzy,CABARRUS - 04-01,CABARRUS - 04-08
2016,AMBIGUOUS,CABARRUS - 04-07,12,CABARRUS - 02-07,0.6750,MANUAL_REQUIRED,fuzzy,CABARRUS - 04-09,CABARRUS - 04-01
