file,year,scope,contest_type,district,agg_dem,agg_rep,snap_dem,snap_rep,agg_margin_pct,snap_margin_pct,delta_margin_pp,in_agg_only,in_snap_only,snapshot_untrusted
congressional_president_2020.json,2020,congressional,president,1,207802,179279,207806,179282,-7.29,-7.29,0.0,False,False,False
congressional_president_2020.json,2020,congressional,president,2,268298,146933,266465,145929,-28.67,-28.67,0.0,False,False,False
congressional_president_2020.json,2020,congressional,president,3,134486,227549,134484,227546,25.32,25.32,0.0,False,False,False
congressional_president_2020.json,2020,congressional,president,4,270356,128690,270363,128683,-34.99,-34.99,0.0,False,False,False
congressional_president_2020.json,2020,congressional,president,5,156861,243015,158429,245443,21.25,21.25,0.0,False,False,False
congressional_president_2020.json,2020,congressional,president,6,217782,169203,215166,167171,-12.38,-12.38,0.0,False,False,False
congressional_president_2020.json,2020,congressional,president,7,175543,227507,174735,226459,12.72,12.72,0.0,False,False,False
congressional_president_2020.json,2020,congressional,president,8,128681,264006,128560,263758,34.01,34.01,0.0,False,False,False
congressional_president_2020.json,2020,congressional,president,9,160706,188964,157454,185140,7.96,7.96,0.0,False,False,False
congressional_president_2020.json,2020,congressional,president,10,117438,273732,117214,273209,39.46,39.46,0.0,False,False,False
congressional_president_2020.json,2020,congressional,president,11,192282,236400,192282,236401,10.13,10.13,0.0,False,False,False
congressional_president_2020.json,2020,congressional,president,12,239352,127211,239359,127206,-30.1,-30.1,0.0,False,False,False
congressional_president_2020.json,2020,congressional,president,13,196495,189849,202662,195808,-1.69,-1.69,0.0,False,False,False
congressional_president_2020.json,2020,congressional,president,14,218481,156129,219293,156714,-16.36,-16.36,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,1,18057,29857,18057,29857,24.31,24.31,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,2,28275,22797,29777,24008,-10.59,-10.59,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,3,18584,27370,18584,27370,18.82,18.82,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,4,15667,23942,15667,23942,20.72,20.72,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,5,21010,20925,21013,20928,-0.2,-0.2,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,6,13152,17708,9246,12449,14.45,14.45,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,7,19982,27256,19982,27256,15.17,15.17,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,8,26776,19424,26775,19424,-15.67,-15.67,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,9,20774,19258,20775,19258,-3.73,-3.73,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,10,17208,20672,17208,20671,9.04,9.04,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,11,30451,14341,33281,15673,-35.13,-35.13,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,12,19636,22744,19636,22744,7.28,7.28,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,13,14661,33690,14661,33691,38.77,38.78,-0.00999999999999801,False,False,False
state_house_president_2020.json,2020,state_house,president,14,8662,14797,8662,14797,25.39,25.39,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,15,12713,22763,12713,22763,27.62,27.62,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,16,14610,30476,14610,30476,34.6,34.6,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,17,21862,34686,22236,35280,22.42,22.42,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,18,28183,22704,30304,24412,-10.57,-10.57,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,19,22487,35288,23600,37034,21.87,21.87,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,20,27056,26354,23190,22589,-1.29,-1.29,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,21,21943,10163,16736,7751,-36.13,-36.13,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,22,18294,27091,18291,27086,19.23,19.23,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,23,27938,19553,27939,19554,-17.53,-17.53,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,24,21422,21066,21422,21065,-0.83,-0.83,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,25,25282,24340,25282,24340,-1.88,-1.88,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,26,18869,25466,18871,25467,14.62,14.62,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,27,28010,17820,28010,17819,-22.08,-22.08,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,28,14927,30946,14928,30948,34.48,34.48,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,29,40868,7110,30265,5266,-69.22,-69.22,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,30,43839,6744,50189,7721,-72.27,-72.27,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,31,39897,9272,41868,9730,-61.27,-61.27,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,32,22896,18680,22896,18680,-10.04,-10.04,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,33,30699,18219,33322,19775,-25.01,-25.01,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,34,41245,23190,43919,24693,-27.46,-27.46,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,35,24033,21729,21496,19435,-4.93,-4.93,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,36,25636,18085,22704,16017,-16.91,-16.91,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,37,19924,21102,17784,18835,2.81,2.81,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,38,46422,7922,50003,8533,-69.69,-69.69,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,39,27941,17527,23332,14636,-22.53,-22.53,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,40,32344,24342,34730,26137,-13.85,-13.85,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,41,32824,17524,35547,18978,-29.78,-29.78,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,42,19747,8152,19298,7966,-40.67,-40.67,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,43,20326,21660,18141,19332,3.13,3.13,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,44,23497,14443,25086,15419,-23.41,-23.41,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,45,20898,15780,22362,16885,-13.71,-13.71,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,46,14088,25878,14089,25876,29.3,29.29,0.010000000000001563,False,False,False
state_house_president_2020.json,2020,state_house,president,47,14378,18759,14378,18759,13.12,13.12,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,48,18990,16925,18990,16925,-5.67,-5.67,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,49,33657,14650,36564,15915,-38.52,-38.52,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,50,32704,24467,33631,25161,-14.23,-14.23,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,51,14270,22444,14270,22444,21.96,21.96,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,52,18545,25180,18546,25182,14.98,14.98,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,53,15912,29953,19102,35958,30.15,30.15,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,54,27824,23857,17280,14816,-7.58,-7.58,0.0,False,False,False
