block_geoid00,county_fips_2000,place_fips_2000,cd106_2000,sldu_2000,sldl_2000,vtd_code_2000,vap_count_2000
370010201011000,001,09060,05,21,25,12N,26
370010201011001,001,09060,05,21,25,12N,24
370010201011002,001,09060,05,21,25,12N,35
370010201011003,001,09060,05,21,25,12N,0
370010201011004,001,09060,05,21,25,12N,19
370010201011005,001,09060,05,21,25,12N,0
370010201011006,001,09060,05,21,25,12N,13
370010201011007,001,09060,05,21,25,12N,28
370010201011008,001,09060,05,21,25,12N,2
370010201011009,001,09060,05,21,25,12N,0
370010201011010,001,09060,05,21,25,12N,0
370010201011011,001,09060,05,21,25,12N,0
370010201011012,001,09060,05,21,25,12N,0
370010201011013,001,09060,05,21,25,12W,0
370010201011014,001,09060,05,21,25,12W,16
370010201011015,001,09060,05,21,25,12W,0
370010201011016,001,09060,05,21,25,12W,0
370010201011017,001,09060,05,21,25,12W,0
370010201011018,001,09060,05,21,25,12W,0
370010201011019,001,09060,05,21,25,12W,0
370010201011020,001,09060,05,21,25,12N,0
370010201011021,001,09060,05,21,25,12N,0
370010201011022,001,09060,05,21,25,12N,0
370010201011023,001,09060,05,21,25,12N,0
370010201011024,001,09060,05,21,25,12E,0
370010201011025,001,09060,05,21,25,12E,30
370010201011026,001,09060,05,21,25,12E,26
370010201011027,001,09060,05,21,25,12E,0
370010201011028,001,09060,05,21,25,12E,0
370010201011029,001,09060,05,21,25,12E,0
370010201011030,001,09060,05,21,25,12E,0
370010201011031,001,09060,05,21,25,128,0
370010201011032,001,09060,05,21,25,128,0
370010201011033,001,09060,05,21,25,12W,0
370010201011034,001,09060,05,21,25,12W,0
370010201011035,001,09060,05,21,25,128,0
370010201011036,001,09060,05,21,25,128,0
370010201011037,001,09060,05,21,25,128,0
370010201011038,001,09060,05,21,25,128,0
370010201011039,001,09060,05,21,25,128,20
370010201011040,001,09060,05,21,25,12E,0
370010201011041,001,09060,05,21,25,12E,0
370010201011042,001,09060,05,21,25,128,22
370010201011043,001,09060,05,21,25,128,0
370010201011044,001,09060,05,21,25,128,14
370010201011045,001,09060,05,21,25,128,73
370010201011046,001,09060,05,21,25,12W,0
370010201011047,001,09060,05,21,25,12W,0
370010201011048,001,09060,05,21,25,12W,0
370010201011049,001,09060,05,21,25,12W,0
370010201011050,001,09060,05,21,25,12W,0
370010201011051,001,09060,05,21,25,12W,0
370010201011052,001,09060,05,21,25,12W,0
370010201011053,001,09060,05,21,25,12W,0
370010201011054,001,09060,05,21,25,128,0
370010201011055,001,09060,05,21,25,128,0
370010201011056,001,09060,05,21,25,128,30
370010201011057,001,09060,05,21,25,128,13
370010201011058,001,09060,05,21,25,12W,0
370010201011059,001,09060,05,21,25,12W,8
370010201011060,001,09060,05,21,25,12W,2
370010201011061,001,09060,05,21,25,12W,8
370010201021000,001,09060,05,21,25,12W,21
370010201021001,001,09060,05,21,25,12W,59
370010201021002,001,09060,05,21,25,12W,69
370010201021003,001,09060,05,21,25,12W,85
370010201021004,001,09060,05,21,25,12W,11
370010201021005,001,09060,05,21,25,12W,0
370010201021006,001,09060,05,21,25,12W,40
370010201021007,001,09060,05,21,25,12W,21
370010201021008,001,09060,05,21,25,12W,22
370010201021009,001,09060,05,21,25,12W,42
370010201021010,001,09060,05,21,25,12W,14
370010201021011,001,09060,05,21,25,12W,32
370010201021012,001,09060,05,21,25,12W,55
370010201021013,001,09060,05,21,25,12W,30
370010201021014,001,09060,05,21,25,12W,26
