year,raw_precinct_key,era_precinct_key,canonical_precinct_key,old_share
2008,BRUNSWICK - BELVILLE,BRUNSWICK - 04,BRUNSWICK - NB07,0.781063
2008,BRUNSWICK - MOSQUITO,BRUNSWICK - 10,BRUNSWICK - CB06,0.705009
2008,BRUNSWICK - SHINGLETREE I,BRUNSWICK - 16,BRUNSWICK - WB05,0.802746
2008,CHEROKEE - BEAVERDAM Y,CHEROKEE - BEAV,CHEROKEE - UNKA,0.841071
2008,CHEROKEE - BEAVERDAM Z,CHEROKEE - BEAV,CHEROKEE - UNKA,0.841071
2008,CHEROKEE - NOTLA Y,CHEROKEE - NOTL,CHEROKEE - RGER,0.612062
2008,CHEROKEE - NOTLA Z,CHEROKEE - NOTL,CHEROKEE - RGER,0.612062
2008,CUMBERLAND - CLIFFDALE WEST,CUMBERLAND - CL57,CUMBERLAND - CL57-2,0.559041
2008,GUILFORD - FR5,GUILFORD - FR5,GUILFORD - FR5A,0.692373
2008,GUILFORD - G41,GUILFORD - G41,GUILFORD - G41B,0.558629
2008,HARNETT - NEILLS CREEK,HARNETT - PR27,HARNETT - PR32,0.999973
2008,JACKSON - SCOTTS CREEK 1,"JACKSON - SC1, SC2, & SC3",JACKSON - SCC,0.989713
2008,NASH - MANNINGS NO 1,NASH - 0011,NASH - P06A,0.988730
2008,NASH - MANNINGS NO 2,NASH - 0012,NASH - P07A,0.997684
2008,NASH - ROCKY MOUNT NO 10,NASH - 0040,NASH - P16A,0.574019
2008,PITT - WINTERVILLE CENTRAL A,PITT - 1403A,PITT - 1403A1,0.605201
2008,ROCKINGHAM - AYERS VALLEY,ROCKINGHAM - AV,ROCKINGHAM - WS,0.996238
2008,ROCKINGHAM - COURTLAND,ROCKINGHAM - CO,ROCKINGHAM - MS,0.994729
2008,ROCKINGHAM - MADISON,ROCKINGHAM - MD,ROCKINGHAM - WS,0.996914
2008,ROCKINGHAM - VANCE,ROCKINGHAM - VA,ROCKINGHAM - MS,0.994915
2008,TRANSYLVANIA - BALSAM GROVE,TRANSYLVANIA - BG & GL,TRANSYLVANIA - TC1,0.993016
2008,TRANSYLVANIA - GLOUCESTER,TRANSYLVANIA - BG & GL,TRANSYLVANIA - TC1,0.993016
2008,TRANSYLVANIA - LAKE TOXAWAY,"TRANSYLVANIA - LT, QB, & SW",TRANSYLVANIA - TC7,0.996272
2008,TRANSYLVANIA - QUEBEC,"TRANSYLVANIA - LT, QB, & SW",TRANSYLVANIA - TC7,0.996272
2008,TRANSYLVANIA - SAPPHIRE WHITEWATER,"TRANSYLVANIA - LT, QB, & SW",TRANSYLVANIA - TC7,0.996272
