"year","total_geo","matched_geo","unmatched_geo","non_geo","geo_match_pct"
"2000","26886","26566","320","10","98.81"
"2002","2738","2705","33","103","98.79"
"2004","30160","29764","396","555","98.69"
"2008","30370","30078","292","455","99.04"
"2010","2769","2760","9","295","99.67"
"2012","27460","27390","70","85","99.75"
"2014","2726","2715","11","258","99.6"
"2016","45953","45834","119","6130","99.74"
"2018","10840","10800","40","32","99.63"
"2020","53500","53240","260","440","99.51"
"2022","18599","18536","63","0","99.66"
"2024","39900","39825","75","15","99.81"
