line_year,year,chamber,contest,file,district,baseline_usable,baseline_statewide_vote_ratio,candidate_statewide_complete,production_margin_pct,staged_margin_pct,staged_minus_production_pp,production_winner,staged_winner,winner_flip,production_total_votes,staged_total_votes,staged_minus_production_votes,linked_urban_votes,linked_urban_share_of_staged_pct,direct_vtd_linked_votes,historical_plan_cell_linked_votes,historical_plan_cell_share_pct,top_linked_urban_counties,linkage_method_mix,disposition,reason,rank_score
2022,2002,state_house,us_senate,state_house_us_senate_2002.json,110,True,1.0,True,-28.96,14.36,43.32,DEM,REP,True,18623,19544,921,9942,50.87,9942,0,0.0,GASTON:9942 (100.0%),direct_sf1_vtd:9942 (100.0%),production_calibration_review,Production margin was manually calibrated; this is not a clean geometry comparison.,64.3091
2024,2004,state_house,president,state_house_president_2004.json,66,True,0.999897,True,8.61,-8.42,-17.03,REP,DEM,True,9255,28682,19427,8645,30.14,6517,2129,24.62,WAKE:8645 (100.0%),direct_sf1_vtd:6517 (75.4%); historical_plan_cell:2129 (24.6%),map_inspection,Winner changes relative to the complete production baseline.,57.03
2024,2004,state_house,president,state_house_president_2004.json,50,True,0.999897,True,2.65,-24.57,-27.22,REP,DEM,True,43786,36125,-7661,0,0.0,0,0,0.0,,,fallback_allocation_review,"Large change occurs outside the linked urban vote; inspect fallback redistribution, not precinct geometry.",50.7193
2024,2004,state_house,governor,state_house_governor_2004.json,84,True,0.999996,True,2.91,-2.82,-5.73,REP,DEM,True,36149,21383,-14766,0,0.0,0,0,0.0,,,fallback_allocation_review,"Large change occurs outside the linked urban vote; inspect fallback redistribution, not precinct geometry.",33.8995
2024,2004,state_house,governor,state_house_governor_2004.json,66,True,0.999996,True,-14.33,-25.56,-11.23,DEM,DEM,False,9279,28246,18967,8702,30.81,6563,2139,24.58,WAKE:8702 (100.0%),direct_sf1_vtd:6563 (75.4%); historical_plan_cell:2139 (24.6%),map_inspection,Margin changes by at least five percentage points.,31.23
2022,2002,state_house,us_senate,state_house_us_senate_2002.json,45,True,1.0,True,-2.07,3.98,6.05,DEM,REP,True,7815,9834,2019,8010,81.45,2927,5084,63.46,CUMBERLAND:8010 (100.0%),historical_plan_cell:5084 (63.5%); direct_sf1_vtd:2927 (36.5%),map_inspection,Winner changes relative to the complete production baseline.,31.217
2022,2004,state_house,president,state_house_president_2004.json,116,True,1.000002,True,3.78,-5.12,-8.9,REP,DEM,True,37278,35910,-1368,18500,51.52,0,18500,100.0,BUNCOMBE:18500 (100.0%),historical_plan_cell:18500 (100.0%),map_inspection,Winner changes relative to the complete production baseline.,29.6339
2024,2004,state_house,governor,state_house_governor_2004.json,20,True,0.999996,True,-4.7,3.57,8.27,DEM,REP,True,33671,33174,-497,24639,74.27,24639,0,0.0,NEW HANOVER:24639 (100.0%),direct_sf1_vtd:24639 (100.0%); historical_plan_cell:0 (0.0%),map_inspection,Winner changes relative to the complete production baseline.,28.5652
2022,2002,state_house,us_senate,state_house_us_senate_2002.json,108,True,1.0,True,7.55,34.05,26.5,REP,REP,False,15690,14225,-1465,13122,92.25,13122,0,0.0,GASTON:13122 (100.0%),direct_sf1_vtd:13122 (100.0%),production_calibration_review,Production margin was manually calibrated; this is not a clean geometry comparison.,28.3674
2022,2004,state_house,governor,state_house_governor_2004.json,37,True,1.000003,True,0.22,-1.49,-1.71,REP,DEM,True,15941,21142,5201,14551,68.83,10912,3639,25.01,WAKE:14551 (100.0%),direct_sf1_vtd:10912 (75.0%); historical_plan_cell:3639 (25.0%),map_inspection,Winner changes relative to the complete production baseline.,28.2353
