year,county,raw_precinct,group_id,strategy
2002,CUMBERLAND,CC01 CROSS CREEK #01,CUMBERLAND|PLANHSC|H43|S21|C7,historical_plan_cell_hsc
2002,CUMBERLAND,CC02 CROSS CREEK #02,CUMBERLAND|PLANHSC|H41|S21|C7,historical_plan_cell_hsc
2002,CUMBERLAND,CC03 CROSS CREEK #03,CUMBERLAND|PLANSC|S21|C2,historical_plan_cell_sc
2002,CUMBERLAND,CC04 CROSS CREEK #04,CUMBERLAND|PLANHSC|H41|S19|C8,historical_plan_cell_hsc
2002,CUMBERLAND,CC05 CROSS CREEK #05,CUMBERLAND|PLANHSC|H43|S21|C2,historical_plan_cell_hsc
2002,CUMBERLAND,CC06 CROSS CREEK #06,CUMBERLAND|PLANHSC|H41|S21|C8,historical_plan_cell_hsc
2002,CUMBERLAND,CC07 CROSS CREEK #07,CUMBERLAND|PLANHSC|H41|S19|C8,historical_plan_cell_hsc
2002,CUMBERLAND,CC08 CROSS CREEK #08,CUMBERLAND|PLANHSC|H41|S19|C8,historical_plan_cell_hsc
2002,CUMBERLAND,CC09 CROSS CREEK #09,CUMBERLAND|PLANHSC|H43|S21|C2,historical_plan_cell_hsc
2002,CUMBERLAND,CU01 CUMBERLAND #1,CUMBERLAND|PLANHSC|H45|S19|C8,historical_plan_cell_hsc
2002,CUMBERLAND,CU02 CUMBERLAND #2,CUMBERLAND|PLANHSC|H44|S19|C8,historical_plan_cell_hsc
2002,CUMBERLAND,CU03 CUMBERLAND #3,CUMBERLAND|PLANHSC|H45|S19|C8,historical_plan_cell_hsc
2002,CUMBERLAND,HM01 HOPE MILLS #1,CUMBERLAND|PLANHSC|H45|S19|C8,historical_plan_cell_hsc
2002,CUMBERLAND,HM02 HOPE MILLS #2,CUMBERLAND|PLANHSC|H45|S19|C7,historical_plan_cell_hsc
2002,CUMBERLAND,HM03 HOPE MILLS #3,CUMBERLAND|PLANHSC|H45|S19|C8,historical_plan_cell_hsc
2002,CUMBERLAND,MR02 MORGANTON RD #2,CUMBERLAND|PLANHSC|H44|S21|C8,historical_plan_cell_hsc
2002,CUMBERLAND,PM02 PEARCES MILL #2,CUMBERLAND|PLANHSC|H45|S19|C8,historical_plan_cell_hsc
2002,CUMBERLAND,PM03 PEARCES MILL #3,CUMBERLAND|PLANSC|S19|C7,historical_plan_cell_sc
2002,CUMBERLAND,PM04 PEARCES MILL #4,CUMBERLAND|PLANHSC|H45|S19|C8,historical_plan_cell_hsc
2002,GUILFORD,FR5-1 FR5-1,GUILFORD|PLANHSC|H62|S26|C6,historical_plan_cell_hsc
2002,GUILFORD,FR5-2 FR5-2,GUILFORD|PLANHSC|H62|S26|C6,historical_plan_cell_hsc
2002,GUILFORD,G08 G08,GUILFORD|PLANHSC|H58|S27|C13,historical_plan_cell_hsc
2002,GUILFORD,G40A G40A,GUILFORD|PLANHSC|H62|S26|C6,historical_plan_cell_hsc
2002,GUILFORD,G40B G40B,GUILFORD|PLANSC|S26|C6,historical_plan_cell_sc
2002,GUILFORD,G41-1 G41-1,GUILFORD|PLANHSC|H62|S27|C6,historical_plan_cell_hsc
2002,GUILFORD,G41-2 G41-2,GUILFORD|PLANHSC|H62|S27|C6,historical_plan_cell_hsc
2002,GUILFORD,G42-1 G42-1,GUILFORD|PLANHSC|H62|S27|C6,historical_plan_cell_hsc
2002,GUILFORD,G42-2 G42-2,GUILFORD|PLANHSC|H62|S27|C6,historical_plan_cell_hsc
2002,GUILFORD,H19A H19A,GUILFORD|PLANHSC|H61|S28|C12,historical_plan_cell_hsc
2002,GUILFORD,H19B H19B,GUILFORD|PLANHSC|H61|S28|C12,historical_plan_cell_hsc
2002,GUILFORD,H20A H20A,GUILFORD|PLANHSC|H61|S28|C6,historical_plan_cell_hsc
2002,GUILFORD,H20B H20B,GUILFORD|PLANHSC|H61|S28|C6,historical_plan_cell_hsc
2002,GUILFORD,H28 H28,GUILFORD|PLANHSC|H61|S28|C12,historical_plan_cell_hsc
2002,GUILFORD,H29 H29,GUILFORD|PLANHSC|H61|S28|C12,historical_plan_cell_hsc
2002,GUILFORD,NCLAY1 NCLAY1,GUILFORD|PLANHSC|H57|S26|C6,historical_plan_cell_hsc
2002,GUILFORD,NCLAY2 NCLAY2,GUILFORD|PLANHSC|H57|S26|C6,historical_plan_cell_hsc
2002,MECKLENBURG,145 145,MECKLENBURG|PLANHSC|H99|S40|C12,historical_plan_cell_hsc
2002,NEW HANOVER,absentee/provisional,NEW HANOVER|PLANSC|S9|C7,historical_plan_cell_sc
2002,WAKE,01-07A 01-07A,WAKE|PLANHSC|H38|S16|C13,historical_plan_cell_hsc
2002,WAKE,01-49 01-49,WAKE|PLANHSC|H35|S16|C13,historical_plan_cell_hsc
2002,WAKE,01-50 01-50,WAKE|PLANHSC|H38|S14|C2,historical_plan_cell_hsc
2002,WAKE,01-51 01-51,WAKE|PLANHSC|H34|S15|C13,historical_plan_cell_hsc
2002,WAKE,04-20 04-20,WAKE|PLANHSC|H36|S16|C4,historical_plan_cell_hsc
2002,WAKE,04-21 04-21,WAKE|PLANHSC|H35|S16|C4,historical_plan_cell_hsc
2002,WAKE,05-01 05-01,WAKE|PLANHSC|H34|S16|C4,historical_plan_cell_hsc
2002,WAKE,05-02 05-02,WAKE|PLANHSC|H34|S16|C4,historical_plan_cell_hsc
2002,WAKE,05-03 05-03,WAKE|PLANHSC|H34|S16|C4,historical_plan_cell_hsc
