year,county,raw_precinct,prefix_token,reason,house_districts,senate_districts,congressional_districts
2002,CUMBERLAND,absentee/provisional,absentee/provisional,no_unique_two_way_historical_plan_cell,41;42;43;44;45,19;21,2;7;8
2002,FORSYTH,absentee/provisional,absentee/provisional,no_unique_two_way_historical_plan_cell,66;71;72;91;92;93;94,31;32,12;5
2002,GASTON,absentee/provisional,absentee/provisional,no_unique_two_way_historical_plan_cell,108;109;110,42;43,10;9
2002,GUILFORD,absentee/provisional,absentee/provisional,no_unique_two_way_historical_plan_cell,57;58;59;60;61;62,26;27;28;33,12;13;6
2002,MECKLENBURG,absentee/provisional,absentee/provisional,no_unique_two_way_historical_plan_cell,100;101;102;103;104;105;106;107;98;99,35;37;38;39;40,12;8;9
2002,WAKE,absentee/provisional,absentee/provisional,no_unique_two_way_historical_plan_cell,33;34;35;36;37;38;39;40;50,14;15;16;17,13;2;4
2004,BUNCOMBE,A ABSENTEE,A,no_unique_two_way_historical_plan_cell,114;115;116,48;49,
2004,BUNCOMBE,P PROV,P,no_unique_two_way_historical_plan_cell,114;115;116,48;49,
2004,BUNCOMBE,T TRANSFER,T,no_unique_two_way_historical_plan_cell,114;115;116,48;49,
2004,CUMBERLAND,A ABSENTEE,A,no_unique_two_way_historical_plan_cell,22;42;43;44;45,19;21,
2004,CUMBERLAND,P PROV,P,no_unique_two_way_historical_plan_cell,22;42;43;44;45,19;21,
2004,CUMBERLAND,T TRANSFER,T,no_unique_two_way_historical_plan_cell,22;42;43,19;21,
2004,FORSYTH,A ABSENTEE,A,no_unique_two_way_historical_plan_cell,71;72;73;74;75,31;32,
2004,FORSYTH,P PROV,P,no_unique_two_way_historical_plan_cell,71;72;73;74;75,31;32,
2004,GASTON,A ABSENTEE,A,no_unique_two_way_historical_plan_cell,108;109;110,41;43,
2004,GASTON,C CURBSIDE,C,no_unique_two_way_historical_plan_cell,108;109;110,41;43,
2004,GASTON,P PROV,P,no_unique_two_way_historical_plan_cell,108;109;110,41;43,
2004,GASTON,T TRANSFER,T,no_unique_two_way_historical_plan_cell,109;110,43,
2004,GUILFORD,A ABSENTEE,A,no_unique_two_way_historical_plan_cell,57;58;59;60;61;62,26;27;28;33,
2004,GUILFORD,P PROV,P,no_unique_two_way_historical_plan_cell,57;58;59;60;61;62,26;27;28;33,
2004,MECKLENBURG,A ABSENTEE,A,no_unique_two_way_historical_plan_cell,100;101;102;103;104;105;106;107;98;99,35;37;38;39;40,
2004,MECKLENBURG,C CURBSIDE,C,no_unique_two_way_historical_plan_cell,100;101;102;103;104;105;106;107;98;99,35;37;38;39;40,
2004,MECKLENBURG,P PROV,P,no_unique_two_way_historical_plan_cell,100;101;102;103;104;105;106;107;98;99,35;37;38;39;40,
2004,NEW HANOVER,A ABSENTEE,A,no_unique_two_way_historical_plan_cell,16;18;19,9,
2004,NEW HANOVER,P PROV,P,no_unique_two_way_historical_plan_cell,16;18;19,9,
2004,WAKE,A ABSENTEE,A,no_unique_two_way_historical_plan_cell,33;34;35;36;37;38;39;40;41,14;15;16;17,
2004,WAKE,P PROV,P,no_unique_two_way_historical_plan_cell,33;34;35;36;37;38;39;40;41,14;15;16;17,
2004,WAKE,T TRANSFER,T,no_unique_two_way_historical_plan_cell,38,16;17,
